pair,agreements_pos,disagreements_pos,pai_pos,agreements_neg,disagreements_neg,pai_neg,agreements_all,disagreements_all,pai_all,model_preds_pos,model_preds_neg,model_overlapping_pos,model_overlapping_neg,model_not_overlapping_pos,model_not_overlapping_neg,human_detected_pos,human_total_pos,human_detected_neg,human_total_neg
pair_A10_1_2,1,1,0.6666666666666666,0,1,0.0,1,2,0.3333333333333333,1,1,1,0,0,1,1,2,0,0
pair_A10_2_3,1,2,0.5,0,1,0.0,1,3,0.25,2,1,2,0,0,1,2,2,0,0
pair_A11_1_2,1,4,0.3333333333333333,0,1,0.0,1,5,0.16666666666666666,2,1,1,0,1,1,3,4,0,0
pair_A12_1_2,0,4,0.0,1,2,0.5,1,6,0.14285714285714285,3,2,0,2,3,0,0,1,1,2
pair_A12_2_3,0,1,0.0,2,1,0.8,2,2,0.5,1,3,0,2,1,1,0,0,2,2
pair_A13_1_2,1,0,1.0,0,0,0.0,1,0,1.0,1,0,1,0,0,0,1,1,0,0
pair_A13_2_3,0,0,0.0,0,2,0.0,0,2,0.5,0,1,0,0,0,1,0,0,0,1
pair_A15_1_2,0,0,0.0,2,0,1.0,2,0,1.0,0,2,0,2,0,0,0,0,2,2
pair_A15_2_3,0,5,0.0,0,0,0.0,0,5,0.5,5,0,0,0,5,0,0,0,0,0
pair_A16_1_2,0,2,0.0,1,0,1.0,1,2,0.3333333333333333,2,1,0,1,2,0,0,0,1,1
pair_A17_1_2,1,0,1.0,1,1,0.6666666666666666,2,1,0.6666666666666666,1,2,1,1,0,1,1,1,1,1
pair_A18_1_2,1,1,0.6666666666666666,1,1,0.6666666666666666,2,2,0.5,2,2,1,1,1,1,1,1,1,1
pair_A18_2_3,1,5,0.2857142857142857,1,1,0.6666666666666666,2,6,0.25,6,2,1,1,5,1,1,1,1,1
pair_A1_1_2,0,3,0.0,0,2,0.0,0,5,0.0,2,2,0,0,2,2,0,1,0,0
pair_A1_2_3,1,0,1.0,0,1,0.0,1,1,0.5,1,1,1,0,0,1,1,1,0,0
pair_A20_1_2,0,0,0.0,0,1,0.0,0,1,0.5,0,0,0,0,0,0,0,0,0,1
pair_A2_1_2,1,3,0.4,0,0,0.0,1,3,0.625,2,0,1,0,1,0,2,3,0,0
pair_A2_2_3,0,1,0.0,0,4,0.0,0,5,0.0,1,2,0,0,1,2,0,0,0,2
pair_A3_1_2,1,1,0.6666666666666666,0,0,0.0,1,1,0.75,1,0,1,0,0,0,2,2,0,0
pair_A3_2_3,0,3,0.0,0,0,0.0,0,3,0.5,2,0,0,0,2,0,0,1,0,0
pair_A4_1_2,1,1,0.6666666666666666,0,0,0.0,1,1,0.75,2,0,1,0,1,0,1,1,0,0
pair_A4_2_3,0,2,0.0,0,1,0.0,0,3,0.0,1,1,0,0,1,1,0,1,0,0
pair_A5_1_2,0,1,0.0,1,1,0.6666666666666666,1,2,0.3333333333333333,0,2,0,1,0,1,0,1,1,1
pair_A6_1_2,0,1,0.0,0,0,0.0,0,1,0.5,0,0,0,0,0,0,0,1,0,0
pair_A6_2_3,1,2,0.5,0,1,0.0,1,3,0.25,3,0,2,0,1,0,1,1,0,1
pair_A7_1_2,0,4,0.0,0,2,0.0,0,6,0.0,1,2,0,0,1,2,0,3,0,0
pair_A7_2_3,1,0,1.0,1,2,0.5,2,2,0.5,1,2,1,1,0,1,1,1,1,2
pair_A8_1_2,0,1,0.0,1,0,1.0,1,1,0.5,1,1,0,1,1,0,0,0,1,1
pair_A8_2_3,2,0,1.0,0,0,0.0,2,0,1.0,2,0,2,0,0,0,2,2,0,0
pair_A9_1_2,1,1,0.6666666666666666,0,0,0.0,1,1,0.75,1,0,1,0,0,0,2,2,0,0
