pair,num_persons,total_annotated_pixels_union,shared_pixels_count_ge_2,max_overlap_count,overlap_histogram,isolated_ellipses_count
61,4,30057,2627,2,1:27430;2:2627,5
62,4,19439,4467,4,1:14972;2:2419;3:1474;4:574,1
63,4,22339,4086,2,1:18253;2:4086,1
64,4,51373,22364,3,1:29009;2:16533;3:5831,1
65,4,15708,1092,2,1:14616;2:1092,1
66,4,47637,18623,4,1:29014;2:7833;3:5846;4:4944,2
67,4,63054,12390,3,1:50664;2:10193;3:2197,0
68,4,27486,2441,2,1:25045;2:2441,0
69,4,30540,22763,4,1:7777;2:7845;3:10228;4:4690,1
70,4,45034,17318,3,1:27716;2:10948;3:6370,3
71,4,11561,7677,3,1:3884;2:5213;3:2464,0
72,4,45668,11342,2,1:34326;2:11342,2
73,4,28859,2284,2,1:26575;2:2284,3
74,4,33628,15577,3,1:18051;2:14468;3:1109,0
75,4,30255,7258,3,1:22997;2:7173;3:85,0
76,4,76195,27238,3,1:48957;2:16935;3:10303,3
77,4,18876,8620,4,1:10256;2:5152;3:2893;4:575,2
78,4,32427,2891,2,1:29536;2:2891,2
79,4,45956,14652,3,1:31304;2:14356;3:296,0
80,4,49343,23924,3,1:25419;2:6448;3:17476,0
81,4,62072,26483,4,1:35589;2:15356;3:5917;4:5210,1
82,4,49557,17024,3,1:32533;2:14727;3:2297,2
83,4,49908,21282,4,1:28626;2:9394;3:5786;4:6102,0
84,4,23173,16335,3,1:6838;2:4961;3:11374,1
85,4,47797,24464,4,1:23333;2:12134;3:4868;4:7462,0
86,4,32745,2151,2,1:30594;2:2151,1
87,4,32564,10576,3,1:21988;2:8795;3:1781,1
88,4,33372,21299,4,1:12073;2:7647;3:6698;4:6954,0
89,4,24263,8559,4,1:15704;2:5128;3:2831;4:600,0
90,4,42976,15557,3,1:27419;2:15235;3:322,1
91,4,65564,28071,4,1:37493;2:15347;3:7209;4:5515,2
92,4,69998,6589,3,1:63409;2:5855;3:734,4
93,4,70028,52328,4,1:17700;2:22999;3:14093;4:15236,1
94,4,48409,24482,4,1:23927;2:4275;3:5641;4:14566,1
95,4,95299,43605,4,1:51694;2:32678;3:8597;4:2330,0
96,4,137551,83683,4,1:53868;2:33998;3:35240;4:14445,0
97,4,78973,24358,2,1:54615;2:24358,0
98,4,54235,27453,4,1:26782;2:8708;3:12559;4:6186,1
99,2,24294,6285,2,1:18009;2:6285,0
100,2,13659,3740,2,1:9919;2:3740,0
